Trace
Swept SA
A.02.06,N9010A
80240600,-70.954509334369
80241200,-71.1425021885408
80241800,-71.4132951385818
80242400,-70.3692768665321
80243000,-70.724151671079
80243600,-69.5340840011134
80244200,-70.0640022531081
80244800,-68.5021710894418
80245400,-68.1243024343985
80246000,-68.1150440932235
80246600,-67.9965370469068
80247200,-67.9823531922242
80247800,-67.4742778830722
80248400,-67.2824166174662
80249000,-67.02659843355
80249600,-66.1117056820231
80250200,-65.9831449557846
80250800,-65.8308423457236
80251400,-66.6954129663719
80252000,-65.8570672577808
80252600,-65.6619859704
80253200,-65.589767733097
80253800,-65.2999533421111
80254400,-64.7819729130359
80255000,-64.635218913711
80255600,-64.7458214337781
80256200,-63.5922162997274
80256800,-64.6697627360964
80257400,-63.9200681279112
80258000,-64.4481798491135
80258600,-64.2452508368597
80259200,-64.2234105330853
80259800,-64.1566922619075
80260400,-64.2143773495358
80261000,-64.1389269632455
80261600,-64.0163072915819
80262200,-64.8358330828095
80262800,-64.3685621073856
80263400,-63.9841348709673
80264000,-64.6773849277666
80264600,-65.2867958760553
80265200,-64.7737505688724
80265800,-64.8042462451878
80266400,-64.9571137245266
80267000,-64.5626690729126
80267600,-64.7625112910072
80268200,-65.0333102352205
80268800,-64.8998060735964
80269400,-64.7470847436002
80270000,-66.1233102832606
80270600,-66.3775864942989
80271200,-66.2432312606867
80271800,-65.9809088625813
80272400,-66.5720263659867
80273000,-67.1628963999137
80273600,-66.412422445369
80274200,-67.2404232859074
80274800,-67.2119715354043
80275400,-68.0606037527084
80276000,-68.3025173690635
80276600,-69.1444280708371
80277200,-68.853076415263
80277800,-69.0261413923008
80278400,-69.7843727985491
80279000,-70.348116967349
80279600,-71.4318451574221
80280200,-70.9666553507362
80280800,-71.3447676897445
80281400,-71.4500615856488
80282000,-72.7966399644963
80282600,-72.7026776855259
80283200,-72.2189685125923
80283800,-73.8972503881241
80284400,-73.7198659746486
80285000,-74.3396471699725
80285600,-73.2588942877318
80286200,-73.0301238976987
80286800,-72.6479182662333
80287400,-73.4528176660104
80288000,-73.073226541502
80288600,-73.4019480115424
80289200,-72.0383714568689
80289800,-72.0004638089713
80290400,-71.7576471999138
80291000,-71.5567265604244
80291600,-70.7310395577702
80292200,-70.5426268375734
80292800,-70.4465914909768
80293400,-70.6234588426117
80294000,-69.1913523670857
80294600,-69.8721848007205
80295200,-69.7944811070244
80295800,-68.4927009630935
80296400,-68.6938177902705
80297000,-68.3950780331982
80297600,-67.6010055279776
80298200,-67.3133691565794
80298800,-67.0981771451098
80299400,-67.6715321284508
80300000,-67.1928677867986
